timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1659511454944,14011,GET_films,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-18,text,true,,18989,121,50,50,https://swapi.dev/api/films/,13923,0,109
1659511453902,15056,GET_films,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-48,text,true,,18989,121,50,50,https://swapi.dev/api/films/,15022,0,106
1659511453533,15581,GET_films,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-20,text,true,,18989,121,50,50,https://swapi.dev/api/films/,15552,0,111
1659511465985,3302,GET_planets,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-6,text,true,,5834,123,50,50,https://swapi.dev/api/planets/,3302,0,0
1659511455079,14260,GET_films,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-23,text,true,,18989,121,50,50,https://swapi.dev/api/films/,14036,0,109
1659511453973,15474,GET_films,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-44,text,true,,18989,121,50,50,https://swapi.dev/api/films/,15154,0,109
1659511466548,3241,GET_planets,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-4,text,true,,5834,123,50,50,https://swapi.dev/api/planets/,3241,0,0
1659511454994,14807,GET_films,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-47,text,true,,18989,121,50,50,https://swapi.dev/api/films/,14756,0,107
1659511466532,3288,GET_planets,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-5,text,true,,5834,123,50,50,https://swapi.dev/api/planets/,3288,0,0
1659511465064,4816,GET_people,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-50,text,true,,5962,122,50,50,https://swapi.dev/api/people/,4816,0,0
1659511454468,15491,GET_films,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-21,text,true,,18989,121,50,50,https://swapi.dev/api/films/,15421,0,104
1659511455572,14551,GET_films,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-26,text,true,,18989,121,50,50,https://swapi.dev/api/films/,14502,0,106
